abbr,team,name,position,last_updated,status,source,source_url,access_date,confidence
MIN,Minnesota Timberwolves,Seth Martin,Basketball Strategy & Analytics Coordinator,7-8-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MIN,Minnesota Timberwolves,Josh Gershon,Director of Basketball Intelligence,7-8-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
NOP,New Orleans Pelicans,AJ Meyer,Director of Analytics,8-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
NYK,New York Knicks,Andrew Haruki Hill,Basketball Data Scientist,7-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
NYK,New York Knicks,Chris Feller,"Director, Basketball Strategy",7-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
NYK,New York Knicks,Gersson Rosas,"Senior Vice President, Basketball Operations",7-6-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
NYK,New York Knicks,Dapo Adegbile,Director of Coaching Analytics,7-6-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
NYK,New York Knicks,Richard Dry,Director of Sports Technology,7-6-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
NYK,New York Knicks,Sean MacLean,Basketball Product & Strategy Lead,7-6-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
NYK,New York Knicks,Nick Fleder,"Senior Manager, Insights and Amateur Scouting",7-6-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
